time,id,location
09:01,1,fruit
09:01,2,fruit
09:01,3,fruit
09:01,4,drinks
09:01,5,fruit
09:02,1,spices
09:02,2,fruit
09:02,3,fruit
09:02,4,checkout
09:02,5,fruit
09:02,6,drinks
09:02,7,fruit
09:03,1,spices
09:03,2,fruit
09:03,3,checkout
09:03,5,fruit
09:03,6,drinks
09:03,7,drinks
09:03,8,dairy
09:03,9,drinks
09:04,1,dairy
09:04,2,checkout
09:04,5,fruit
09:04,6,spices
09:04,7,drinks
09:04,8,dairy
09:04,9,fruit
09:04,10,dairy
09:04,11,spices
09:04,12,spices
09:04,13,fruit
09:05,1,dairy
09:05,5,fruit
09:05,6,drinks
09:05,7,drinks
09:05,8,dairy
09:05,9,drinks
09:05,10,spices
09:05,11,spices
09:05,12,spices
09:05,13,fruit
09:05,14,spices
09:05,15,dairy
09:06,1,dairy
09:06,5,fruit
09:06,6,checkout
09:06,7,drinks
09:06,8,dairy
09:06,9,drinks
09:06,10,fruit
09:06,11,fruit
09:06,12,spices
09:06,13,dairy
09:06,14,dairy
09:06,15,dairy
09:06,16,dairy
09:06,17,spices
09:06,18,fruit
09:07,1,dairy
09:07,5,fruit
09:07,7,drinks
09:07,8,dairy
09:07,9,drinks
09:07,10,spices
09:07,11,fruit
09:07,12,spices
09:07,13,dairy
09:07,14,dairy
09:07,15,dairy
09:07,16,dairy
09:07,17,spices
09:07,18,fruit
09:07,19,dairy
09:07,20,fruit
09:07,21,fruit
09:08,1,dairy
09:08,5,dairy
09:08,7,checkout
09:08,8,dairy
09:08,9,drinks
09:08,10,checkout
09:08,11,spices
09:08,12,drinks
09:08,13,drinks
09:08,14,dairy
09:08,15,checkout
09:08,16,dairy
09:08,17,spices
09:08,18,checkout
09:08,19,drinks
09:08,20,fruit
09:08,21,dairy
09:08,22,spices
09:08,23,drinks
09:08,24,fruit
09:08,25,drinks
09:09,1,dairy
09:09,5,drinks
09:09,8,dairy
09:09,9,drinks
09:09,11,dairy
09:09,12,drinks
09:09,13,checkout
09:09,14,dairy
09:09,16,checkout
09:09,17,spices
09:09,19,fruit
09:09,20,checkout
09:09,21,checkout
09:09,22,spices
09:09,23,checkout
09:09,24,fruit
09:09,25,drinks
09:09,26,dairy
09:09,27,dairy
09:09,28,dairy
09:09,29,dairy
09:09,30,fruit
09:10,1,dairy
09:10,5,checkout
09:10,8,dairy
09:10,9,drinks
09:10,11,spices
09:10,12,checkout
09:10,14,drinks
09:10,17,spices
09:10,19,fruit
09:10,22,spices
09:10,24,checkout
09:10,25,fruit
09:10,26,dairy
09:10,27,checkout
09:10,28,dairy
09:10,29,spices
09:10,30,spices
09:10,31,drinks
09:10,32,fruit
09:10,33,fruit
09:10,34,drinks
09:11,1,dairy
09:11,8,dairy
09:11,9,drinks
09:11,11,checkout
09:11,14,drinks
09:11,17,spices
09:11,19,checkout
09:11,22,drinks
09:11,25,fruit
09:11,26,drinks
09:11,28,dairy
09:11,29,drinks
09:11,30,dairy
09:11,31,drinks
09:11,32,fruit
09:11,33,fruit
09:11,34,drinks
09:11,35,fruit
09:11,36,dairy
09:12,1,dairy
09:12,8,dairy
09:12,9,drinks
09:12,14,drinks
09:12,17,checkout
09:12,22,fruit
09:12,25,fruit
09:12,26,drinks
09:12,28,spices
09:12,29,drinks
09:12,30,dairy
09:12,31,checkout
09:12,32,checkout
09:12,33,fruit
09:12,34,drinks
09:12,35,dairy
09:12,36,dairy
09:12,37,drinks
09:13,1,dairy
09:13,8,spices
09:13,9,fruit
09:13,14,drinks
