,time,id,location
0,07:01,1,fruit
,time,id,location
0,07:02,1,dairy
,time,id,location
0,07:02,2,fruit
,time,id,location
0,07:03,1,dairy
,time,id,location
0,07:03,2,checkout
,time,id,location
0,07:03,3,fruit
,time,id,location
0,07:04,1,checkout
,time,id,location
0,07:04,3,fruit
,time,id,location
0,07:04,4,fruit
,time,id,location
0,07:05,3,fruit
,time,id,location
0,07:05,4,fruit
,time,id,location
0,07:05,5,fruit
,time,id,location
0,07:06,3,fruit
,time,id,location
0,07:06,4,checkout
,time,id,location
0,07:06,5,fruit
,time,id,location
0,07:06,6,dairy
,time,id,location
0,07:07,3,spices
,time,id,location
0,07:07,5,fruit
,time,id,location
0,07:07,6,dairy
,time,id,location
0,07:07,7,spices
,time,id,location
0,07:08,3,dairy
,time,id,location
0,07:08,5,dairy
,time,id,location
0,07:08,6,dairy
,time,id,location
0,07:08,7,spices
,time,id,location
0,07:08,8,dairy
,time,id,location
0,07:09,3,dairy
,time,id,location
0,07:09,5,dairy
,time,id,location
0,07:09,6,dairy
,time,id,location
0,07:09,7,fruit
,time,id,location
0,07:09,8,dairy
,time,id,location
0,07:09,9,drinks
,time,id,location
0,07:10,3,dairy
,time,id,location
0,07:10,5,dairy
,time,id,location
0,07:10,6,drinks
,time,id,location
0,07:10,7,fruit
,time,id,location
0,07:10,8,dairy
,time,id,location
0,07:10,9,drinks
,time,id,location
0,07:10,10,fruit
,time,id,location
0,07:11,3,dairy
,time,id,location
0,07:11,5,dairy
,time,id,location
0,07:11,6,drinks
,time,id,location
0,07:11,7,fruit
,time,id,location
0,07:11,8,dairy
,time,id,location
0,07:11,9,drinks
,time,id,location
0,07:11,10,drinks
,time,id,location
0,07:11,11,spices
,time,id,location
0,07:12,3,drinks
,time,id,location
0,07:12,5,dairy
,time,id,location
0,07:12,6,spices
,time,id,location
0,07:12,7,fruit
,time,id,location
0,07:12,8,drinks
,time,id,location
0,07:12,9,drinks
,time,id,location
0,07:12,10,spices
,time,id,location
0,07:12,11,dairy
,time,id,location
0,07:12,12,fruit
,time,id,location
0,07:13,3,checkout
,time,id,location
0,07:13,5,drinks
,time,id,location
0,07:13,6,spices
,time,id,location
0,07:13,7,fruit
,time,id,location
0,07:13,8,checkout
,time,id,location
0,07:13,9,drinks
,time,id,location
0,07:13,10,dairy
,time,id,location
0,07:13,11,dairy
,time,id,location
0,07:13,12,fruit
,time,id,location
0,07:13,13,dairy
,time,id,location
0,07:14,5,checkout
,time,id,location
0,07:14,6,spices
,time,id,location
0,07:14,7,dairy
,time,id,location
0,07:14,9,drinks
,time,id,location
0,07:14,10,drinks
,time,id,location
0,07:14,11,dairy
,time,id,location
0,07:14,12,fruit
,time,id,location
0,07:14,13,dairy
,time,id,location
0,07:14,14,fruit
,time,id,location
0,07:15,6,dairy
,time,id,location
0,07:15,7,dairy
,time,id,location
0,07:15,9,drinks
,time,id,location
0,07:15,10,spices
,time,id,location
0,07:15,11,dairy
,time,id,location
0,07:15,12,checkout
,time,id,location
0,07:15,13,dairy
,time,id,location
0,07:15,14,fruit
,time,id,location
0,07:15,15,fruit
,time,id,location
0,07:16,6,dairy
,time,id,location
0,07:16,7,dairy
,time,id,location
0,07:16,9,spices
,time,id,location
0,07:16,10,dairy
,time,id,location
0,07:16,11,checkout
,time,id,location
0,07:16,13,dairy
,time,id,location
0,07:16,14,dairy
,time,id,location
0,07:16,15,fruit
,time,id,location
0,07:16,16,fruit
,time,id,location
0,07:17,6,checkout
,time,id,location
0,07:17,7,dairy
,time,id,location
0,07:17,9,dairy
,time,id,location
0,07:17,10,fruit
,time,id,location
0,07:17,13,fruit
,time,id,location
0,07:17,14,dairy
,time,id,location
0,07:17,15,dairy
,time,id,location
0,07:17,16,fruit
,time,id,location
0,07:17,17,dairy
,time,id,location
0,07:18,7,dairy
,time,id,location
0,07:18,9,dairy
,time,id,location
0,07:18,10,checkout
,time,id,location
0,07:18,13,dairy
,time,id,location
0,07:18,14,dairy
,time,id,location
0,07:18,15,dairy
,time,id,location
0,07:18,16,fruit
,time,id,location
0,07:18,17,dairy
,time,id,location
0,07:18,18,fruit
,time,id,location
0,07:19,7,dairy
,time,id,location
0,07:19,9,fruit
,time,id,location
